Spaghetti Carbonara,"Spaghetti, Eggs, Parmesan cheese, Pancetta, Black pepper, Salt",25,"Cook spaghetti. Sauté pancetta. Whisk eggs and cheese. Combine pasta with pancetta, remove from heat, and stir in egg mixture. Season with pepper.","Italian"
Chicken Tikka Masala,"Chicken breast, Yogurt, Tomato puree, Garam masala, Garlic, Ginger, Onion",45,"Marinate chicken in yogurt and spices. Sauté onions and aromatics. Add tomato puree and cook. Add chicken and simmer until done.","Indian"
Vegetable Stir Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Garlic, Sesame oil",20,"Stir fry vegetables in sesame oil. Add garlic and soy sauce. Cook until tender-crisp.","Chinese"
Beef Tacos,"Ground beef, Taco shells, Lettuce, Tomato, Cheddar cheese, Sour cream",20,"Cook ground beef with seasoning. Fill taco shells with beef and toppings.","Mexican"
Margherita Pizza,"Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil, Olive oil, Salt",30,"Spread sauce on dough, top with mozzarella. Bake and finish with basil and olive oil.","Italian"
Lentil Soup,"Red lentils, Carrots, Celery, Onion, Garlic, Vegetable broth, Cumin",35,"Sauté vegetables. Add lentils and broth. Simmer until soft. Season with cumin.","Middle Eastern"
Shrimp Pad Thai,"Rice noodles, Shrimp, Eggs, Bean sprouts, Peanuts, Tamarind paste, Fish sauce",30,"Cook noodles. Sauté shrimp and scramble eggs. Add noodles, sauce, and bean sprouts. Garnish with peanuts.","Thai"
Greek Salad,"Cucumber, Tomato, Red onion, Feta cheese, Kalamata olives, Olive oil, Oregano",10,"Chop vegetables. Toss with olives, feta, olive oil, and oregano.","Greek"
Pancakes,"Flour, Eggs, Milk, Baking powder, Sugar, Butter, Salt",15,"Mix ingredients. Pour batter on skillet. Cook until golden.","American"
Chili Con Carne,"Ground beef, Kidney beans, Tomato paste, Onion, Garlic, Chili powder, Cumin",50,"Brown beef. Add vegetables and spices. Add beans and simmer.","Tex-Mex"
Eggplant Parmesan,"Eggplant, Marinara sauce, Mozzarella cheese, Parmesan cheese, Bread crumbs, Olive oil",60,"Bread and bake eggplant. Layer with sauce and cheeses. Bake until bubbly.","Italian"
Teriyaki Chicken,"Chicken thighs, Soy sauce, Brown sugar, Garlic, Ginger, Cornstarch",30,"Cook chicken. Make teriyaki sauce. Simmer chicken in sauce.","Japanese"
