recipe, ingredients
Spaghetti Carbonara,"Spaghetti, Eggs, Parmesan cheese, Pancetta, Black pepper, Salt"
Chicken Tikka Masala,"Chicken breast, Yogurt, Tomato puree, Garam masala, Garlic, Ginger, Onion"
Vegetable Stir Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Garlic, Sesame oil"
Beef Tacos,"Ground beef, Taco shells, Lettuce, Tomato, Cheddar cheese, Sour cream"
Margherita Pizza,"Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil, Olive oil, Salt"
Lentil Soup,"Red lentils, Carrots, Celery, Onion, Garlic, Vegetable broth, Cumin"
Shrimp Pad Thai,"Rice noodles, Shrimp, Eggs, Bean sprouts, Peanuts, Tamarind paste, Fish sauce"
Greek Salad,"Cucumber, Tomato, Red onion, Feta cheese, Kalamata olives, Olive oil, Oregano"
Pancakes,"Flour, Eggs, Milk, Baking powder, Sugar, Butter, Salt"
Chili Con Carne,"Ground beef, Kidney beans, Tomato paste, Onion, Garlic, Chili powder, Cumin"
Eggplant Parmesan,"Eggplant, Marinara sauce, Mozzarella cheese, Parmesan cheese, Bread crumbs, Olive oil"
Teriyaki Chicken,"Chicken thighs, Soy sauce, Brown sugar, Garlic, Ginger, Cornstarch"
Falafel Wrap,"Chickpeas, Garlic, Onion, Parsley, Cumin, Flour, Pita bread, Tahini sauce"
Butternut Squash Risotto,"Arborio rice, Butternut squash, Onion, Vegetable broth, Parmesan cheese, White wine"
Fish Tacos,"White fish fillets, Corn tortillas, Cabbage, Lime, Sour cream, Cilantro"
Stuffed Bell Peppers,"Bell peppers, Ground turkey, Rice, Tomato sauce, Onion, Garlic, Cheese"
Avocado Toast,"Bread slices, Avocado, Lemon juice, Salt, Red pepper flakes, Olive oil"
Mushroom Stroganoff,"Mushrooms, Onion, Garlic, Sour cream, Vegetable broth, Paprika, Egg noodles"
Caprese Salad,"Tomatoes, Fresh mozzarella, Basil leaves, Olive oil, Balsamic glaze, Salt"
Sweet Potato Curry,"Sweet potatoes, Coconut milk, Onion, Garlic, Curry powder, Spinach"
