Spaghetti Carbonara,"Spaghetti, Eggs, Parmesan cheese, Pancetta, Black pepper, Salt",25,"Cook spaghetti in salted boiling water until al dente. Meanwhile, sauté diced pancetta in a skillet until crisp. In a bowl, whisk eggs with grated Parmesan. Drain pasta, reserving ½ cup of cooking water. Toss hot pasta with pancetta, remove from heat, and quickly stir in egg mixture, adding reserved water as needed to create a creamy sauce. Season generously with black pepper.","Italian"
Chicken Tikka Masala,"Chicken breast, Yogurt, Tomato puree, Garam masala, Garlic, Ginger, Onion",45,"Cut chicken into cubes and marinate in yogurt mixed with garam masala, garlic, and ginger for at least 30 minutes. Sauté chopped onion in oil until golden. Add marinated chicken and cook until browned. Stir in tomato puree and simmer for 20 minutes until chicken is cooked through and sauce thickens. Adjust seasoning and serve hot.","Indian"
Vegetable Stir Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Garlic, Sesame oil",20,"Heat sesame oil in a wok over high heat. Add sliced carrots and cook for 2 minutes. Add broccoli and bell peppers, stir‑frying until tender‑crisp. Stir in minced garlic and soy sauce, tossing to coat evenly. Cook for 1–2 minutes more and serve immediately.","Chinese"
Beef Tacos,"Ground beef, Taco shells, Lettuce, Tomato, Cheddar cheese, Sour cream",20,"Brown ground beef in a skillet with taco seasoning until cooked through. Warm taco shells. Fill each shell with beef, then top with shredded lettuce, diced tomato, grated cheddar, and a dollop of sour cream.","Mexican"
Margherita Pizza,"Pizza dough, Tomato sauce, Mozzarella cheese, Fresh basil, Olive oil, Salt",30,"Preheat oven to 475°F (245°C). Spread tomato sauce evenly over rolled‑out pizza dough. Top with sliced mozzarella. Bake until crust is golden and cheese is bubbling, about 12–15 minutes. Remove from oven and finish with fresh basil leaves and a drizzle of olive oil.","Italian"
Lentil Soup,"Red lentils, Carrots, Celery, Onion, Garlic, Vegetable broth, Cumin",35,"Sauté diced onion, carrots, celery, and garlic in olive oil until softened. Add rinsed lentils and vegetable broth. Bring to a boil, then reduce heat and simmer for 20–25 minutes until lentils are tender. Stir in cumin, adjust seasoning, and serve warm.","Middle Eastern"
Shrimp Pad Thai,"Rice noodles, Shrimp, Eggs, Bean sprouts, Peanuts, Tamarind paste, Fish sauce",30,"Soak rice noodles according to package instructions. Sauté shrimp in oil until pink. Push shrimp aside and scramble eggs in the same pan. Add noodles, tamarind paste, and fish sauce, tossing to combine. Stir in bean sprouts. Garnish with crushed peanuts before serving.","Thai"
Greek Salad,"Cucumber, Tomato, Red onion, Feta cheese, Kalamata olives, Olive oil, Oregano",10,"Chop cucumber, tomato, and red onion into bite‑sized pieces. Toss with Kalamata olives and crumbled feta. Drizzle with olive oil and sprinkle with oregano. Mix gently and serve chilled.","Greek"
Pancakes,"Flour, Eggs, Milk, Baking powder, Sugar, Butter, Salt",15,"Whisk flour, baking powder, sugar, and salt in a bowl. Add milk and eggs, mixing until smooth. Heat a skillet with butter. Pour batter to form pancakes and cook until bubbles form, then flip and cook until golden brown. Serve warm.","American"
Chili Con Carne,"Ground beef, Kidney beans, Tomato paste, Onion, Garlic, Chili powder, Cumin",50,"Brown ground beef in a large pot. Add chopped onion and garlic, cooking until softened. Stir in tomato paste, chili powder, and cumin. Add kidney beans and simmer for 30 minutes until flavors meld. Adjust seasoning and serve hot.","Tex-Mex"
Eggplant Parmesan,"Eggplant, Marinara sauce, Mozzarella cheese, Parmesan cheese, Bread crumbs, Olive oil",60,"Slice eggplant and dredge in bread crumbs. Arrange on a baking sheet, drizzle with olive oil, and bake until golden. In a casserole dish, layer baked eggplant with marinara sauce, mozzarella, and Parmesan. Repeat layers and bake at 375°F (190°C) until bubbly and cheese is melted.","Italian"
Teriyaki Chicken,"Chicken thighs, Soy sauce, Brown sugar, Garlic, Ginger, Cornstarch",30,"Whisk soy sauce, brown sugar, minced garlic, and grated ginger to make sauce. Sear chicken thighs in a skillet until browned. Pour sauce over chicken and simmer until cooked through. Mix cornstarch with water, add to pan, and cook until sauce thickens.","Japanese"
Falafel Wrap,"Chickpeas, Garlic, Onion, Parsley, Cumin, Flour, Pita bread, Tahini sauce",35,"Blend chickpeas, garlic, onion, parsley, cumin, and flour into a coarse mixture. Shape into balls and fry until crisp. Warm pita bread, fill with falafel, and drizzle with tahini sauce.","Middle Eastern"
Butternut Squash Risotto,"Arborio rice, Butternut squash, Onion, Vegetable broth, Parmesan cheese, White wine",45,"Sauté diced onion in butter until softened. Add Arborio rice and toast for 2 minutes. Deglaze with white wine. Gradually add hot vegetable broth, stirring constantly until rice is creamy. Stir in roasted butternut squash and Parmesan before serving.","Italian"
Fish Tacos,"White fish fillets, Corn tortillas, Cabbage, Lime, Sour cream, Cilantro",25,"Season fish fillets and cook in a skillet until flaky. Warm corn tortillas. Fill with fish, shredded cabbage, and a squeeze of lime. Top with sour cream and fresh cilantro.","Mexican"
Stuffed Bell Peppers,"Bell peppers, Ground turkey, Rice, Tomato sauce, Onion, Garlic, Cheese",55,"Cook ground turkey with onion and garlic. Stir in cooked rice and tomato sauce. Cut tops off bell peppers and remove seeds. Stuff peppers with filling, place in a baking dish, and bake at 375°F (190°C) until peppers are tender. Sprinkle with cheese before serving.","American"
Avocado Toast,"Bread slices, Avocado, Lemon juice, Salt, Red pepper flakes, Olive oil",5,"Toast bread slices until golden. Mash avocado with lemon juice and salt. Spread onto toast, drizzle with olive oil, and sprinkle with red pepper flakes.","American"
Mushroom Stroganoff,"Mushrooms, Onion, Garlic, Sour cream, Vegetable broth, Paprika, Egg noodles",30,"Sauté sliced mushrooms, onion, and garlic in butter until softened. Add vegetable broth and paprika, simmering for 10 minutes. Stir in sour cream to make a creamy sauce. Serve over cooked egg noodles.","Russian"
Caprese Salad,"Tomatoes, Fresh mozzarella, Basil leaves, Olive oil, Balsamic glaze, Salt",8,"Slice tomatoes and mozzarella. Arrange on a plate with fresh basil leaves. Drizzle with olive oil and balsamic glaze. Sprinkle lightly with salt before serving.","Italian"
Sweet Potato Curry,"Sweet potatoes, Coconut milk, Onion, Garlic, Curry powder, Spinach",35,"Sauté diced onion and garlic in oil until fragrant. Stir in curry powder and cubed sweet potatoes. Add coconut milk and simmer until potatoes are tender. Stir in spinach just before serving.","Indian"
Baked Ziti,"Ziti pasta, Marinara sauce, Ricotta cheese, Mozzarella cheese, Parmesan cheese",40,"Cook ziti pasta until al dente. Mix pasta with marinara sauce and ricotta cheese. Transfer to a baking dish, top with mozzarella and Parmesan, and bake at 375°F (190°C) until cheese is melted and bubbly.","Italian"
Chicken Fajitas,"Chicken breast, Bell peppers, Onion, Fajita seasoning, Tortillas",25,"Slice chicken and vegetables. Sauté in a skillet with fajita seasoning until chicken is cooked and vegetables are tender. Serve hot in warmed tortillas.","Mexican"
Tomato Basil Soup,"Tomatoes, Onion, Garlic, Vegetable broth, Basil, Olive oil",30,"Sauté chopped onion and garlic in olive oil until fragrant. Add chopped tomatoes and vegetable broth. Simmer for 20 minutes, then blend until smooth. Stir in fresh basil before serving.","Italian"
Garlic Butter Salmon,"Salmon fillets, Garlic, Butter, Lemon, Parsley, Salt",20,"Preheat oven to 400°F (200°C). Melt butter with minced garlic and lemon juice. Place salmon fillets on a baking sheet, brush with garlic butter, and bake until flaky, about 12–15 minutes. Garnish with chopped parsley.","American"
Couscous Salad,"Couscous, Cucumber, Tomato, Red onion, Parsley, Lemon juice, Olive oil",15,"Cook couscous according to package instructions and let cool. Toss with diced cucumber, tomato, and red onion. Add chopped parsley, lemon juice, and olive oil. Mix well and serve chilled.","Mediterranean"
BBQ Pulled Pork,"Pork shoulder, BBQ sauce, Onion, Salt, Pepper",360,"Season pork shoulder with salt and pepper. Place in a slow cooker with sliced onion and cook on low for 6–8 hours until tender. Shred pork and mix with BBQ sauce before serving.","American"
Risotto Primavera,"Arborio rice, Vegetable broth, Peas, Carrots, Parmesan cheese, White wine",45,"Sauté diced carrots and peas in butter. Add Arborio rice and toast for 2 minutes. Deglaze with white wine. Gradually add hot vegetable broth, stirring constantly until rice is creamy. Stir in Parmesan before serving.","Italian"
Sushi Rolls,"Sushi rice, Nori, Cucumber, Avocado, Imitation crab, Soy sauce",50,"Prepare sushi rice and spread a thin layer on nori sheets. Add cucumber, avocado, and imitation crab. Roll tightly using a bamboo mat, slice into pieces, and serve with soy sauce.","Japanese"
Beef Stroganoff,"Beef strips, Mushrooms, Onion, Sour cream, Beef broth, Egg noodles",35,"Sauté beef strips in butter until browned. Add sliced mushrooms and onion, cooking until softened. Stir in beef broth and simmer for 10 minutes. Remove from heat and stir in sour cream. Serve over cooked egg noodles.","Russian"
